PLAYERNUM,SCORE
1,838
2,323
3,112
4,327
5,678
6,80
7,565
8,513
9,202
10,369
11,633
12,404
13,499
14,947
15,268
16,801
17,903
18,831
19,941
20,901
21,769
22,591
23,127
24,90
25,778
26,135
27,101
28,489
29,479
30,842
31,924
32,582
33,140
34,944
35,721
36,498
37,24
38,607
39,627
40,843
41,22
42,464
43,725
44,507
45,7
46,122
47,355
48,828
49,750
50,123
51,17
52,304
53,852
54,385
55,791
56,626
57,773
58,35
59,341
60,445
61,152
62,399
63,203
64,316
65,800
66,775
67,365
68,718
69,945
70,481
71,9
72,912
73,420
74,848
75,298
76,407
77,748
78,690
79,897
80,651
81,483
82,42
83,211
84,641
85,630
86,887
87,277
88,34
89,228
90,344
91,988
92,674
93,576
94,222
95,528
96,50
97,184
98,509
99,948
100,395
101,321
102,859
103,696
104,385
105,153
106,471
107,281
108,70
109,989
110,273
111,733
112,306
113,189
114,935
115,131
116,390
117,538
118,598
119,49
120,404
121,382
122,737
123,642
124,580
125,551
126,210
127,198
128,452
129,682
130,441
131,367
132,934
133,777
134,550
135,517
136,793
137,896
138,671
139,911
140,170
141,648
142,73
143,390
144,730
145,940
146,837
147,221
148,817
149,308
150,535
151,941
152,446
153,489
154,133
155,190
156,160
157,630
158,530
159,665
160,989
161,642
162,96
163,118
164,735
165,775
166,607
167,126
168,902
169,84
170,770
171,113
172,999
173,598
174,130
175,803
176,4
177,497
178,22
179,879
180,868
181,731
182,810
183,619
184,870
185,300
186,81
187,436
188,451
189,497
190,935
191,106
192,21
193,929
194,528
195,104
196,885
197,407
198,49
199,747
200,516
201,22
202,478
203,882
204,603
205,518
206,963
207,111
208,766
209,531
210,770
211,443
212,378
213,713
214,77
215,674
216,615
217,188
218,426
219,207
220,266
221,551
222,559
223,176
224,857
225,249
226,697
227,597
228,129
229,69
230,953
231,724
232,851
233,179
234,315
235,899
236,571
237,290
238,126
239,893
240,892
241,763
242,663
243,246
244,713
245,68
246,146
247,535
248,339
249,112
250,413
251,579
252,550
253,298
254,706
255,533
256,49
257,98
258,228
259,683
260,515
261,709
262,239
263,993
264,42
265,969
266,590
267,368
268,269
269,240
270,927
271,874
272,43
273,526
274,102
275,655
276,841
277,27
278,35
279,836
280,47
281,909
282,490
283,23
284,464
285,949
286,14
287,594
288,160
289,929
290,946
291,96
292,865
293,939
294,548
295,994
296,597
297,218
298,398
299,737
300,693
301,809
302,499
303,567
304,760
305,71
306,583
307,883
308,299
309,603
310,392
311,469
312,350
313,924
314,334
315,838
316,849
317,216
318,688
319,547
320,302
321,757
322,523
323,346
324,39
325,484
326,150
327,329
328,89
329,702
330,8
331,872
332,677
333,1000
334,898
335,789
336,899
337,347
338,596
339,870
340,734
341,384
342,993
343,776
344,359
345,12
346,994
347,839
348,82
349,106
350,592
351,985
352,66
353,745
354,592
355,318
356,769
357,281
358,852
359,232
360,279
361,23
362,873
363,666
364,703
365,307
366,19
367,407
368,7
369,715
370,296
371,542
372,764
373,39
374,551
375,214
376,787
377,189
378,232
379,340
380,161
381,888
382,646
383,693
384,681
385,507
386,997
387,440
388,828
389,260
390,812
391,439
392,981
393,22
394,975
395,783
396,934
397,562
398,264
399,919
400,389
401,905
402,543
403,842
404,911
405,16
406,876
407,827
408,391
409,641
410,349
411,297
412,530
413,121
414,85
415,274
416,183
417,595
418,214
419,432
420,628
421,236
422,732
423,750
424,236
425,158
426,57
427,123
428,973
429,176
430,841
431,61
432,795
433,606
434,89
435,682
436,485
437,629
438,682
439,28
440,13
441,413
442,14
443,535
444,708
445,31
446,383
447,954
448,239
449,372
450,818
451,560
452,677
453,374
454,78
455,928
456,703
457,690
458,545
459,322
460,601
461,284
462,947
463,17
464,946
465,745
466,661
467,884
468,627
469,824
470,871
471,646
472,230
473,490
474,517
475,560
476,981
477,122
478,436
479,20
480,946
481,805
482,178
483,706
484,602
485,970
486,986
487,29
488,998
489,995
490,963
491,88
492,773
493,622
494,853
495,265
496,284
